Jurisdiction ,Bill Number ,Bill Title ,Bill Status ,Bill Summary ,Category ,Year
Alabama,SJR 45,Honorary Resolution,Enacted,Recognizes Alabama's technology and growing artificial intelligence job sectors' impact on the state's economy.,Private Sector Use,2019
Alabama,SJR 71,Artificial Intelligence and Associated Technologies,Enacted,Establishes the state Commission on Artificial Intelligence and Associated Technologies to review and advice on all aspects of the growth of artificial intelligence and associated technology in the state and the use of artificial intelligence in various fields.,Studies,2019
Alabama,H 187,Public Education Appropriations,Enacted,"Makes appropriations for the support, maintenance and development of public education in the state, for debt service, and for capital outlay for the upcoming fiscal year, including funds for artificial intelligence, cybersecurity and STEM enhancements.",Appropriations; Education/Training,2020
Alabama,SJR 62,Recognition Resolution,Failed,"Recognizes the technology industry and emerging technology job sectors', impact on state's economy.",Effect on Labor/Employment,2020
Alabama,S 78,Council on Advanced Technology,Enacted,"Establishes the State Council on Advanced Technology and Artificial Intelligence to review and advise the governor, the Legislature, and other interested parties on the use and development of advanced technology and artificial intelligence in this state.",Studies,2021
Alabama,SJR 104,Recognition Resolution,Enacted,Recognizes the state's technology sector and workforce and technology's economic contributions to the state.,Effect on Labor/Employment,2021
Alabama,H 197,Artificial Intelligence and Facial Recognition,Failed,Limits the use of facial recognition; ensures artificial intelligence is not the only basis for arrest.,Government Use,2022
Alabama,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
Alabama,H 168 ,Age of a Child for Offenses ,Enacted,Relates to child sexual abuse material; provides for the age of a child for offenses involving child sexual abuse material; provides a cause of action for certain offenses involving child sexual abuse material. ,Child Pornography; Criminal Use ,2024
Alabama,H 172 ,Distribution of Materially Deceptive Media ,Enacted,Relates to elections; provides that the distribution of materially deceptive media to influence an upcoming election is a crime; authorizes certain parties to seek permanent injunctive relief against anyone who distributes materially deceptive media to influence an upcoming election; provides definitions. ,Elections ,2024
Alaska,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
Alaska,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2020
Alaska,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Alaska,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Alaska,None ,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2023
Alaska,H 107 ,Person and Life Definition ,Failed,Relates to criminal law definitions. ,Personhood ,2024
Alaska,H 306 ,Artificial Intelligence ,Failed,Relates to AI. ,Government Use; Impact Assessment; Notification; Private Right of Action; Responsible Use  ,2024
Alaska,H 352 ,Person Definition ,Failed,Relates to the definition of person. ,Personhood ,2024
Alaska,H 358 ,Artificial Intelligence Usage ,Failed,Relates to use of AI to create or alter a representation of the voice or likeness of an individual. ,Criminal Use ,2024
Alaska,S 177 ,Artificial Intelligence ,Failed,Relates to AI. ,Elections; Government Use; Impact Assessment; Responsible Use ,2024
Alaska,S 262 ,Artificial Intelligence Task Force ,Failed,Relates to the state Artificial Intelligence Task Force; provides for an effective date. ,Government Use; Studies ,2024
Arizona,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2019
Arizona,H 2156,Criminal Justice Data,Failed,"Relates to criminal justice data; relates to reporting requirements. Requires prosecutors to disclose in a report whether a risk assessment or other algorithm–based or quantitative tool was used in determining whether to order pretrial detention and the amount of bail or bond, or both.",Government Use,2020
Arizona,H 2634,Criminal Justice Data,Failed,"Relates to criminal justice data; relates to reporting requirements. Requires prosecutors to disclose in a report whether a risk assessment or other algorithm–based or quantitative tool was used in determining whether to order pretrial detention and the amount of bail or bond, or both.",Government Use,2020
Arizona,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2021
Arizona,None,No AI Bill,No AI Bill,No AI Bill,No AI Bill,2022
Arizona,H 2482 ,Appropriations and Crime Victim Notification Fund ,Enacted,"Provides that the Law Enforcement Crime Victim Notification Fund is established consisting of legislative appropriations, enables the county or city, or both, or tribal law enforcement agency or university police department–based deployment of an automated crime victim notification system to a user base consisting of law enforcement agencies, appropriates funds. ",Government Use ,2023
Arizona,S 1565 ,Ballot Processing and Electronic Adjudication and Limit ,Vetoed ,"Relates to ballot processing, relates to electronic adjudication, relates to limitation. ",Elections ,2023
Arizona,H 2307 ,Artificial Intelligence and Sexual Abuse Materials ,Failed,Relates to AI; relates to sexual abuse materials. ,Child Pornography; Criminal Use ,2024
Arizona,H 2727 ,Sexual Exploitation of a Minor ,Failed,"Provides that a person commits sexual exploitation of a minor by knowingly recording, filming, photographing, developing or duplicating any visual depiction in which a minor is engaged in exploitive exhibition or other sexual conduct, producing, publishing, altering or generating with AI any visual depiction in which a minor is engaged in exploitive exhibition or other sexual conduct. ",Child Pornography; Criminal Use ,2024
Arizona,S 1078 ,Fraudulent Voice Recordings ,Failed,Relates to fraudulent voice recordings. ,Criminal Use ,2024
